epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.8481,1.73297,2.8007,1.04624,0,0,0,0,nan,nan,nan,0.000652778,0.000652778,0.000652778
2,121.944,1.73926,1.48828,1.06031,0,0,0,0,nan,nan,nan,0.00130632,0.00130632,0.00130632
3,190.469,1.81831,1.5612,1.07264,0.00039,0.0107,0.00017,8e-05,3.4732,inf,25.0153,0.00194659,0.00194659,0.00194659
4,256.694,1.82224,1.37268,1.05574,0.11867,0.45989,0.07243,0.03003,1.91554,7.52616,0.98978,0.0019403,0.0019403,0.0019403
5,324.92,1.77412,1.27586,1.05742,0.56561,0.21925,0.24598,0.10422,2.1796,2.04587,1.06313,0.0019204,0.0019204,0.0019204
6,396.365,1.7093,1.13304,1.03247,0.64395,0.46425,0.4874,0.22493,1.81693,1.27393,0.98185,0.0019005,0.0019005,0.0019005
7,465.133,1.67783,1.07891,1.02019,0.86735,0.48952,0.59265,0.28377,1.79878,1.1171,0.96484,0.0018806,0.0018806,0.0018806
8,531.141,1.65123,1.07299,1.04282,0.81615,0.4385,0.50414,0.25151,1.83429,1.04454,1.00448,0.0018607,0.0018607,0.0018607
9,588.09,1.59835,1.03174,0.99689,0.71615,0.53968,0.55777,0.2579,1.73729,1.1024,0.94752,0.0018408,0.0018408,0.0018408
10,647.62,1.58593,0.98656,0.99368,0.8421,0.56684,0.64568,0.277,1.88869,1.04736,0.97069,0.0018209,0.0018209,0.0018209
11,706.488,1.60579,1.02082,0.98641,0.74759,0.53851,0.5921,0.28943,1.69903,1.0476,0.92977,0.001801,0.001801,0.001801
12,769.591,1.54707,0.96547,0.9801,0.72222,0.50802,0.5212,0.20456,1.94677,1.0872,1.00428,0.0017811,0.0017811,0.0017811
13,826.818,1.51888,0.94857,0.98894,0.67145,0.52459,0.52815,0.23035,1.83718,1.112,0.98243,0.0017612,0.0017612,0.0017612
14,884.11,1.50867,0.94446,0.97082,0.83739,0.56684,0.64397,0.27782,1.8005,0.94528,0.97493,0.0017413,0.0017413,0.0017413
15,943.617,1.48244,0.90519,0.96372,0.78991,0.5615,0.64293,0.33383,1.60929,0.923,0.95775,0.0017214,0.0017214,0.0017214
16,1008.08,1.52922,0.92614,0.98039,0.89148,0.52941,0.61647,0.32602,1.6557,0.91151,0.96009,0.0017015,0.0017015,0.0017015
17,1065.37,1.48422,0.89902,0.95257,0.84047,0.57219,0.67079,0.3385,1.67834,0.93011,0.95162,0.0016816,0.0016816,0.0016816
18,1128.92,1.54645,0.89957,0.97844,0.79893,0.61621,0.65612,0.3266,1.65466,0.9179,0.93408,0.0016617,0.0016617,0.0016617
19,1186.87,1.49785,0.86535,0.96637,0.829,0.5963,0.67193,0.30578,1.71511,0.85927,0.95303,0.0016418,0.0016418,0.0016418
20,1243.21,1.45485,0.8261,0.94456,0.80119,0.59893,0.66268,0.32759,1.62597,0.95835,0.9332,0.0016219,0.0016219,0.0016219
21,1302.91,1.45332,0.82572,0.96402,0.79735,0.62567,0.68805,0.3349,1.59649,0.84777,0.93488,0.001602,0.001602,0.001602
22,1363.97,1.42234,0.80273,0.96167,0.82443,0.62567,0.70822,0.33404,1.6792,0.83496,0.96545,0.0015821,0.0015821,0.0015821
23,1419.97,1.37108,0.80481,0.95146,0.77412,0.62567,0.67798,0.30176,1.71019,0.94166,0.95509,0.0015622,0.0015622,0.0015622
